Epoch45/200 | Loss: 0.1736758981443277 | AUC: 0.8591721325657439
Epoch46/200 | Loss: 0.17331688806926776 | AUC: 0.8596094763891745
Epoch47/200 | Loss: 0.17302557083470768 | AUC: 0.8600219725206527
Epoch1/200 | Loss: 0.30063227109887514 | AUC: 0.6167965367965368
Epoch2/200 | Loss: 0.2905110194650182 | AUC: 0.6202597402597403
Epoch3/200 | Loss: 0.28129012796986713 | AUC: 0.6211255411255411
Epoch4/200 | Loss: 0.2730575387802532 | AUC: 0.6212987012987014
Epoch5/200 | Loss: 0.2657142679968932 | AUC: 0.6228571428571429
Epoch6/200 | Loss: 0.25923812734295293 | AUC: 0.6240692640692641
Epoch7/200 | Loss: 0.25348231609147076 | AUC: 0.6251082251082251
Epoch8/200 | Loss: 0.2484379869159411 | AUC: 0.6261471861471861
Epoch9/200 | Loss: 0.2439782354176533 | AUC: 0.6273593073593073
Epoch10/200 | Loss: 0.24005874953663917 | AUC: 0.6292640692640693
Epoch11/200 | Loss: 0.23660403787392917 | AUC: 0.630995670995671
Epoch12/200 | Loss: 0.23353501603321597 | AUC: 0.6391341991341991
Epoch13/200 | Loss: 0.2307773172360639 | AUC: 0.6635497835497836
Epoch14/200 | Loss: 0.22831232340532417 | AUC: 0.7132467532467532
Epoch15/200 | Loss: 0.22608419127750742 | AUC: 0.7937662337662338
Epoch16/200 | Loss: 0.22406733111812574 | AUC: 0.8638961038961039
Epoch17/200 | Loss: 0.2222144767717662 | AUC: 0.8941991341991342
Epoch18/200 | Loss: 0.2204925878342567 | AUC: 0.8987012987012987
Epoch19/200 | Loss: 0.21887531035065916 | AUC: 0.900952380952381
Epoch20/200 | Loss: 0.21736388975985652 | AUC: 0.901991341991342
Epoch21/200 | Loss: 0.21594380166190041 | AUC: 0.9044155844155845
Epoch22/200 | Loss: 0.2145589767426927 | AUC: 0.9045887445887446
Epoch23/200 | Loss: 0.2132510191632319 | AUC: 0.9063203463203463
Epoch24/200 | Loss: 0.21198195075181409 | AUC: 0.9075324675324675
Epoch25/200 | Loss: 0.2107192655192681 | AUC: 0.9090909090909091
Epoch26/200 | Loss: 0.20953272551675778 | AUC: 0.9092640692640692
Epoch27/200 | Loss: 0.20830977011487709 | AUC: 0.9094372294372295
Epoch28/200 | Loss: 0.2071594382626519 | AUC: 0.910995670995671
Epoch1/200 | Loss: 0.24639879363968809 | AUC: 0.4677533664068037
Epoch2/200 | Loss: 0.2444381445472158 | AUC: 0.46562721474131824
Epoch3/200 | Loss: 0.24271523233424866 | AUC: 0.46137491141034725
Epoch4/200 | Loss: 0.24122549503977864 | AUC: 0.4663359319631467
Epoch5/200 | Loss: 0.23995820770176898 | AUC: 0.4606661941885188
Epoch6/200 | Loss: 0.23887035978741814 | AUC: 0.4578313253012048
Epoch7/200 | Loss: 0.2379603115728296 | AUC: 0.4592487597448618
Epoch8/200 | Loss: 0.23716497988616553 | AUC: 0.45499645641389086
Epoch9/200 | Loss: 0.23650595209944605 | AUC: 0.45499645641389086
Epoch10/200 | Loss: 0.2359330909310982 | AUC: 0.45641389085754785
Epoch11/200 | Loss: 0.2354526934927812 | AUC: 0.45074415308291993
Epoch12/200 | Loss: 0.2350401267346014 | AUC: 0.45499645641389086
Epoch13/200 | Loss: 0.23471434707956212 | AUC: 0.45357902197023386
Epoch14/200 | Loss: 0.2344022962798152 | AUC: 0.45570517363571933
Epoch1/200 | Loss: 0.2364948873482032 | AUC: 0.5138199858256556
Epoch2/200 | Loss: 0.23572188253235293 | AUC: 0.5116938341601701
Epoch3/200 | Loss: 0.23512784245639473 | AUC: 0.520198440822112
Epoch1/200 | Loss: 0.2333524689132672 | AUC: 0.3919206236711552
Epoch2/200 | Loss: 0.2332361224230781 | AUC: 0.42523033309709424
Epoch3/200 | Loss: 0.23321284191143493 | AUC: 0.3919206236711552
Epoch1/200 | Loss: 0.23803468269131797 | AUC: 0.4223954642097803
Epoch2/200 | Loss: 0.23706952596317601 | AUC: 0.39688164422395467
Epoch3/200 | Loss: 0.23627663036020724 | AUC: 0.39900779588944013
